workload,region_size,seed,phase_index,l2hr,util,scr,l2_hits,l2_misses,region_fetched_bytes,region_accessed_bytes,active_regions,sharer_consistent_regions
matrixmultiplication,4096,43,2,0.43723982565257846,0.4722222222222222,1.0,8928,11491,884736,417792,216,216
matrixmultiplication,4096,43,3,,,,0,0,0,0,0,0
matrixmultiplication,4096,44,0,0.4782608695652174,0.011160714285714286,1.0,88,96,114688,1280,28,28
matrixmultiplication,4096,44,1,0.4185728558658043,0.46136363636363636,1.0,7960,11057,450560,207872,110,110
matrixmultiplication,4096,44,2,0.43723982565257846,0.4722222222222222,1.0,8928,11491,884736,417792,216,216
matrixmultiplication,4096,44,3,,,,0,0,0,0,0,0
matrixmultiplication,64,42,0,0.4782608695652174,0.21739130434782608,1.0,88,96,5888,1280,92,92
matrixmultiplication,64,42,1,0.4185728558658043,0.49572649572649574,1.0,7960,11057,419328,207872,6552,6552
matrixmultiplication,64,42,2,0.43723982565257846,0.4998468606431853,1.0,8928,11491,835840,417792,13060,13060
matrixmultiplication,64,42,3,,,,0,0,0,0,0,0
matrixmultiplication,64,43,0,0.4782608695652174,0.21739130434782608,1.0,88,96,5888,1280,92,92
matrixmultiplication,64,43,1,0.4185728558658043,0.49572649572649574,1.0,7960,11057,419328,207872,6552,6552
matrixmultiplication,64,43,2,0.43723982565257846,0.4998468606431853,1.0,8928,11491,835840,417792,13060,13060
matrixmultiplication,64,43,3,,,,0,0,0,0,0,0
matrixmultiplication,64,44,0,0.4782608695652174,0.21739130434782608,1.0,88,96,5888,1280,92,92
matrixmultiplication,64,44,1,0.4185728558658043,0.49572649572649574,1.0,7960,11057,419328,207872,6552,6552
matrixmultiplication,64,44,2,0.43723982565257846,0.4998468606431853,1.0,8928,11491,835840,417792,13060,13060
matrixmultiplication,64,44,3,,,,0,0,0,0,0,0
matrixtranspose,1024,42,0,,,,0,0,0,0,0,0
matrixtranspose,1024,42,1,0.0,0.498539435248296,1.0,0,45154,4206592,2097152,4108,4108
matrixtranspose,1024,43,0,,,,0,0,0,0,0,0
matrixtranspose,1024,43,1,0.0,0.498539435248296,1.0,0,45154,4206592,2097152,4108,4108
matrixtranspose,1024,44,0,,,,0,0,0,0,0,0
matrixtranspose,1024,44,1,0.0,0.498539435248296,1.0,0,45154,4206592,2097152,4108,4108
matrixtranspose,16384,42,0,,,,0,0,0,0,0,0
matrixtranspose,16384,42,1,0.0,0.48484848484848486,1.0,0,45154,4325376,2097152,264,264
matrixtranspose,16384,43,0,,,,0,0,0,0,0,0
matrixtranspose,16384,43,1,0.0,0.48484848484848486,1.0,0,45154,4325376,2097152,264,264
matrixtranspose,16384,44,0,,,,0,0,0,0,0,0
matrixtranspose,16384,44,1,0.0,0.48484848484848486,1.0,0,45154,4325376,2097152,264,264
matrixtranspose,256,42,0,,,,0,0,0,0,0,0
matrixtranspose,256,42,1,0.0,0.4993903925871739,1.0,0,45154,4199424,2097152,16404,16404
matrixtranspose,256,43,0,,,,0,0,0,0,0,0
matrixtranspose,256,43,1,0.0,0.4993903925871739,1.0,0,45154,4199424,2097152,16404,16404
matrixtranspose,256,44,0,,,,0,0,0,0,0,0
matrixtranspose,256,44,1,0.0,0.4993903925871739,1.0,0,45154,4199424,2097152,16404,16404
matrixtranspose,4096,42,0,,,,0,0,0,0,0,0
matrixtranspose,4096,42,1,0.0,0.4942084942084942,1.0,0,45154,4243456,2097152,1036,1036
matrixtranspose,4096,43,0,,,,0,0,0,0,0,0
matrixtranspose,4096,43,1,0.0,0.4942084942084942,1.0,0,45154,4243456,2097152,1036,1036
matrixtranspose,4096,44,0,,,,0,0,0,0,0,0
matrixtranspose,4096,44,1,0.0,0.4942084942084942,1.0,0,45154,4243456,2097152,1036,1036
matrixtranspose,64,42,0,,,,0,0,0,0,0,0
matrixtranspose,64,42,1,0.0,0.4995731186730089,1.0,0,45154,4197888,2097152,65592,65592
matrixtranspose,64,43,0,,,,0,0,0,0,0,0
matrixtranspose,64,43,1,0.0,0.4995731186730089,1.0,0,45154,4197888,2097152,65592,65592
matrixtranspose,64,44,0,,,,0,0,0,0,0,0
matrixtranspose,64,44,1,0.0,0.4995731186730089,1.0,0,45154,4197888,2097152,65592,65592
pagerank,1024,42,0,,,,0,0,0,0,0,0
pagerank,1024,42,1,0.9306799962274828,0.44961734693877553,1.0,9868,735,100352,45120,98,98
pagerank,1024,42,2,0.995942656207736,0.4737903225806452,1.0,3682,15,95232,45120,93,93
pagerank,1024,43,0,,,,0,0,0,0,0,0
pagerank,1024,43,1,0.9342458400429415,0.44961734693877553,1.0,10443,735,100352,45120,98,98
pagerank,1024,43,2,0.996408905913335,0.4737903225806452,1.0,4162,15,95232,45120,93,93
pagerank,1024,44,0,,,,0,0,0,0,0,0
pagerank,1024,44,1,0.9300133307941344,0.44961734693877553,1.0,9767,735,100352,45120,98,98
pagerank,1024,44,2,0.995731360273193,0.4737903225806452,1.0,3499,15,95232,45120,93,93
pagerank,16384,42,0,,,,0,0,0,0,0,0
pagerank,16384,42,1,0.9306799962274828,0.3059895833333333,1.0,9868,735,147456,45120,9,9
pagerank,16384,42,2,0.995942656207736,0.275390625,1.0,3682,15,163840,45120,10,10
pagerank,16384,43,0,,,,0,0,0,0,0,0
pagerank,16384,43,1,0.9342458400429415,0.3059895833333333,1.0,10443,735,147456,45120,9,9
pagerank,16384,43,2,0.996408905913335,0.275390625,1.0,4162,15,163840,45120,10,10
pagerank,16384,44,0,,,,0,0,0,0,0,0
pagerank,16384,44,1,0.9300133307941344,0.3059895833333333,1.0,9767,735,147456,45120,9,9
pagerank,16384,44,2,0.995731360273193,0.275390625,1.0,3499,15,163840,45120,10,10
pagerank,256,42,0,,,,0,0,0,0,0,0
