workload,region_size,seed,phase_index,l2_hits,l2_misses,l2hr
pagerank,16384,43,1,10443,735,0.9342458400429415
pagerank,16384,43,2,4162,15,0.996408905913335
pagerank,16384,44,0,0,0,
pagerank,16384,44,1,9767,735,0.9300133307941344
pagerank,16384,44,2,3499,15,0.995731360273193
pagerank,256,42,0,0,0,
pagerank,256,42,1,9868,735,0.9306799962274828
pagerank,256,42,2,3682,15,0.995942656207736
pagerank,256,43,0,0,0,
pagerank,256,43,1,10443,735,0.9342458400429415
pagerank,256,43,2,4162,15,0.996408905913335
pagerank,256,44,0,0,0,
pagerank,256,44,1,9767,735,0.9300133307941344
pagerank,256,44,2,3499,15,0.995731360273193
pagerank,4096,42,0,0,0,
pagerank,4096,42,1,9868,735,0.9306799962274828
pagerank,4096,42,2,3682,15,0.995942656207736
pagerank,4096,43,0,0,0,
pagerank,4096,43,1,10443,735,0.9342458400429415
pagerank,4096,43,2,4162,15,0.996408905913335
pagerank,4096,44,0,0,0,
pagerank,4096,44,1,9767,735,0.9300133307941344
pagerank,4096,44,2,3499,15,0.995731360273193
pagerank,64,42,0,0,0,
pagerank,64,42,1,9868,735,0.9306799962274828
pagerank,64,42,2,3682,15,0.995942656207736
pagerank,64,43,0,0,0,
pagerank,64,43,1,10443,735,0.9342458400429415
pagerank,64,43,2,4162,15,0.996408905913335
pagerank,64,44,0,0,0,
pagerank,64,44,1,9767,735,0.9300133307941344
pagerank,64,44,2,3499,15,0.995731360273193
simpleconvolution,1024,42,0,0,0,
simpleconvolution,1024,42,1,0,0,
simpleconvolution,1024,42,2,56909,33619,0.6286342347119124
simpleconvolution,1024,43,0,0,0,
simpleconvolution,1024,43,1,0,0,
simpleconvolution,1024,43,2,56909,33619,0.6286342347119124
simpleconvolution,1024,44,0,0,0,
simpleconvolution,1024,44,1,0,0,
simpleconvolution,1024,44,2,56909,33619,0.6286342347119124
simpleconvolution,16384,42,0,0,0,
simpleconvolution,16384,42,1,0,0,
simpleconvolution,16384,42,2,56909,33619,0.6286342347119124
simpleconvolution,16384,43,0,0,0,
simpleconvolution,16384,43,1,0,0,
simpleconvolution,16384,43,2,56909,33619,0.6286342347119124
simpleconvolution,16384,44,0,0,0,
simpleconvolution,16384,44,1,0,0,
simpleconvolution,16384,44,2,56909,33619,0.6286342347119124
simpleconvolution,256,42,0,0,0,
simpleconvolution,256,42,1,0,0,
simpleconvolution,256,42,2,56909,33619,0.6286342347119124
simpleconvolution,256,43,0,0,0,
simpleconvolution,256,43,1,0,0,
simpleconvolution,256,43,2,56909,33619,0.6286342347119124
simpleconvolution,256,44,0,0,0,
simpleconvolution,256,44,1,0,0,
simpleconvolution,256,44,2,56909,33619,0.6286342347119124
simpleconvolution,4096,42,0,0,0,
simpleconvolution,4096,42,1,0,0,
simpleconvolution,4096,42,2,56909,33619,0.6286342347119124
simpleconvolution,4096,43,0,0,0,
simpleconvolution,4096,43,1,0,0,
simpleconvolution,4096,43,2,56909,33619,0.6286342347119124
simpleconvolution,4096,44,0,0,0,
simpleconvolution,4096,44,1,0,0,
simpleconvolution,4096,44,2,56909,33619,0.6286342347119124
simpleconvolution,64,42,0,0,0,
simpleconvolution,64,42,1,0,0,
simpleconvolution,64,42,2,56909,33619,0.6286342347119124
simpleconvolution,64,43,0,0,0,
simpleconvolution,64,43,1,0,0,
simpleconvolution,64,43,2,56909,33619,0.6286342347119124
simpleconvolution,64,44,0,0,0,
simpleconvolution,64,44,1,0,0,
simpleconvolution,64,44,2,56909,33619,0.6286342347119124
stencil2d,1024,42,0,0,0,
stencil2d,1024,42,1,9437,31867,0.22847666085609142
stencil2d,1024,42,2,0,0,
stencil2d,1024,43,0,0,0,
stencil2d,1024,43,1,9437,31867,0.22847666085609142
stencil2d,1024,43,2,0,0,
stencil2d,1024,44,0,0,0,
stencil2d,1024,44,1,9437,31867,0.22847666085609142
stencil2d,1024,44,2,0,0,
stencil2d,16384,42,0,0,0,
stencil2d,16384,42,1,9437,31867,0.22847666085609142
stencil2d,16384,42,2,0,0,
stencil2d,16384,43,0,0,0,
stencil2d,16384,43,1,9437,31867,0.22847666085609142
stencil2d,16384,43,2,0,0,
stencil2d,16384,44,0,0,0,
stencil2d,16384,44,1,9437,31867,0.22847666085609142
stencil2d,16384,44,2,0,0,
stencil2d,256,42,0,0,0,
stencil2d,256,42,1,9437,31867,0.22847666085609142
stencil2d,256,42,2,0,0,
stencil2d,256,43,0,0,0,
stencil2d,256,43,1,9437,31867,0.22847666085609142
stencil2d,256,43,2,0,0,
stencil2d,256,44,0,0,0,
stencil2d,256,44,1,9437,31867,0.22847666085609142
stencil2d,256,44,2,0,0,
stencil2d,4096,42,0,0,0,
stencil2d,4096,42,1,9437,31867,0.22847666085609142
stencil2d,4096,42,2,0,0,
stencil2d,4096,43,0,0,0,
stencil2d,4096,43,1,9437,31867,0.22847666085609142
stencil2d,4096,43,2,0,0,
stencil2d,4096,44,0,0,0,
stencil2d,4096,44,1,9437,31867,0.22847666085609142
stencil2d,4096,44,2,0,0,
stencil2d,64,42,0,0,0,
stencil2d,64,42,1,9437,31867,0.22847666085609142
stencil2d,64,42,2,0,0,
stencil2d,64,43,0,0,0,
stencil2d,64,43,1,9437,31867,0.22847666085609142
stencil2d,64,43,2,0,0,
stencil2d,64,44,0,0,0,
stencil2d,64,44,1,9437,31867,0.22847666085609142
stencil2d,64,44,2,0,0,
