workload,region_size,seed,phase_index,l2hr,optimal_r
stencil2d,4096,42,1,0.22847666085609142,1024.0
stencil2d,4096,42,2,,
stencil2d,4096,43,0,,
stencil2d,4096,43,1,0.22847666085609142,1024.0
stencil2d,4096,43,2,,
stencil2d,4096,44,0,,
stencil2d,4096,44,1,0.22847666085609142,1024.0
stencil2d,4096,44,2,,
stencil2d,64,42,0,,
stencil2d,64,42,1,0.22847666085609142,1024.0
stencil2d,64,42,2,,
stencil2d,64,43,0,,
stencil2d,64,43,1,0.22847666085609142,1024.0
stencil2d,64,43,2,,
stencil2d,64,44,0,,
stencil2d,64,44,1,0.22847666085609142,1024.0
stencil2d,64,44,2,,
