sim_time,gpu_id,kernel_id,view,region_size_bytes,num_regions_with_entries,strict_coalescable_ratio,avg_relaxed_ratio,full_redundant_ratio,sharer_set_cardinality_dist_json,reg_card1_ratio,reg_card2_ratio,reg_card3_ratio,reg_card4plus_ratio,coalescable_private_ratio,coalescable_shared_ratio,shared_only_strict_ratio
0.011874356,2,0,read_only,64,89719,1.000000,1.000000,1.000000,{"1":87769,"2":1950},0.978265,0.021735,0.000000,0.000000,0.978265,0.021735,1.000000
0.011874356,2,0,union,64,89719,1.000000,1.000000,1.000000,{"1":87769,"2":1950},0.978265,0.021735,0.000000,0.000000,0.978265,0.021735,1.000000
0.011874356,2,0,snapshot,64,8192,1.000000,1.000000,1.000000,{"0":2,"1":6944,"2":1246},0.847656,0.152100,0.000000,0.000000,0.847656,0.152100,1.000000
0.011874356,2,0,read_only,256,89719,1.000000,1.000000,1.000000,{"1":87769,"2":1950},0.978265,0.021735,0.000000,0.000000,0.978265,0.021735,1.000000
0.011874356,2,0,union,256,89719,1.000000,1.000000,1.000000,{"1":87769,"2":1950},0.978265,0.021735,0.000000,0.000000,0.978265,0.021735,1.000000
0.011874356,2,0,snapshot,256,8192,1.000000,1.000000,1.000000,{"0":2,"1":6944,"2":1246},0.847656,0.152100,0.000000,0.000000,0.847656,0.152100,1.000000
0.011874356,2,0,read_only,1024,24555,0.883323,0.956543,0.883323,{"1":87769,"2":1950},0.883323,0.116677,0.000000,0.000000,0.883323,0.000000,0.000000
0.011874356,2,0,union,1024,24555,0.883323,0.956543,0.883323,{"1":87769,"2":1950},0.883323,0.116677,0.000000,0.000000,0.883323,0.000000,0.000000
0.011874356,2,0,snapshot,1024,5616,0.890491,0.950142,0.890491,{"0":2,"1":6944,"2":1246},0.777778,0.221866,0.000000,0.000000,0.777778,0.112358,0.506421
0.011874356,2,0,read_only,4096,7753,0.531665,0.871010,0.531665,{"1":87769,"2":1950},0.531665,0.467174,0.001161,0.000000,0.531665,0.000000,0.000000
0.011874356,2,0,union,4096,7753,0.531665,0.871010,0.531665,{"1":87769,"2":1950},0.531665,0.467174,0.001161,0.000000,0.531665,0.000000,0.000000
0.011874356,2,0,snapshot,4096,4541,0.767672,0.897240,0.767672,{"0":2,"1":6944,"2":1246},0.707994,0.290685,0.001321,0.000000,0.707553,0.060119,0.205882
