sim_time,gpu_id,kernel_id,view,region_size_bytes,num_regions_with_entries,strict_coalescable_ratio,avg_relaxed_ratio,full_redundant_ratio,sharer_set_cardinality_dist_json,reg_card1_ratio,reg_card2_ratio,reg_card3_ratio,reg_card4plus_ratio,coalescable_private_ratio,coalescable_shared_ratio,shared_only_strict_ratio
0.017320436,4,2,read_only,256,23888,1.000000,1.000000,1.000000,{"1":23887,"2":1},0.999958,0.000042,0.000000,0.000000,0.999958,0.000042,1.000000
0.017320436,4,2,union,256,23888,1.000000,1.000000,1.000000,{"1":23887,"2":1},0.999958,0.000042,0.000000,0.000000,0.999958,0.000042,1.000000
0.017320436,4,2,snapshot,256,8192,1.000000,1.000000,1.000000,{"1":8191,"2":1},0.999878,0.000122,0.000000,0.000000,0.999878,0.000122,1.000000
0.017320436,4,2,read_only,1024,23888,1.000000,1.000000,1.000000,{"1":23887,"2":1},0.999958,0.000042,0.000000,0.000000,0.999958,0.000042,1.000000
0.017320436,4,2,union,1024,23888,1.000000,1.000000,1.000000,{"1":23887,"2":1},0.999958,0.000042,0.000000,0.000000,0.999958,0.000042,1.000000
0.017320436,4,2,snapshot,1024,8192,1.000000,1.000000,1.000000,{"1":8191,"2":1},0.999878,0.000122,0.000000,0.000000,0.999878,0.000122,1.000000
0.017320436,4,2,read_only,4096,5979,0.999833,0.999958,0.999833,{"1":23887,"2":1},0.999833,0.000167,0.000000,0.000000,0.999833,0.000000,0.000000
0.017320436,4,2,union,4096,5979,0.999833,0.999958,0.999833,{"1":23887,"2":1},0.999833,0.000167,0.000000,0.000000,0.999833,0.000000,0.000000
0.017320436,4,2,snapshot,4096,2079,0.999519,0.999880,0.999519,{"1":8191,"2":1},0.999519,0.000481,0.000000,0.000000,0.999519,0.000000,0.000000
0.017320436,4,2,read_only,16384,1502,0.998668,0.999625,0.998668,{"1":23887,"2":1},0.998668,0.001332,0.000000,0.000000,0.998668,0.000000,0.000000
0.017320436,4,2,union,16384,1502,0.998668,0.999625,0.998668,{"1":23887,"2":1},0.998668,0.001332,0.000000,0.000000,0.998668,0.000000,0.000000
0.017320436,4,2,snapshot,16384,537,0.998138,0.999845,0.998138,{"1":8191,"2":1},0.998138,0.001862,0.000000,0.000000,0.998138,0.000000,0.000000
