sim_time,gpu_id,kernel_id,view,region_size_bytes,num_regions_with_entries,strict_coalescable_ratio,avg_relaxed_ratio,full_redundant_ratio,sharer_set_cardinality_dist_json,reg_card1_ratio,reg_card2_ratio,reg_card3_ratio,reg_card4plus_ratio,coalescable_private_ratio,coalescable_shared_ratio,shared_only_strict_ratio
0.005047569,5,2,snapshot,1024,1056,0.998106,0.999448,0.998106,{"1":8188,"2":4},0.996212,0.003788,0.000000,0.000000,0.996212,0.001894,0.500000
0.005047569,5,2,read_only,4096,204,0.985294,0.999022,0.985294,{"1":5867,"2":4},0.980392,0.019608,0.000000,0.000000,0.980392,0.004902,0.250000
0.005047569,5,2,union,4096,204,0.985294,0.999022,0.985294,{"1":5867,"2":4},0.980392,0.019608,0.000000,0.000000,0.980392,0.004902,0.250000
0.005047569,5,2,snapshot,4096,276,0.989130,0.999277,0.989130,{"1":8188,"2":4},0.985507,0.014493,0.000000,0.000000,0.985507,0.003623,0.250000
0.005047569,5,2,read_only,16384,64,0.937500,0.998230,0.937500,{"1":5867,"2":4},0.937500,0.062500,0.000000,0.000000,0.937500,0.000000,0.000000
0.005047569,5,2,union,16384,64,0.937500,0.998230,0.937500,{"1":5867,"2":4},0.937500,0.062500,0.000000,0.000000,0.937500,0.000000,0.000000
0.005047569,5,2,snapshot,16384,86,0.953488,0.998683,0.953488,{"1":8188,"2":4},0.953488,0.046512,0.000000,0.000000,0.953488,0.000000,0.000000
0.005314633,5,3,snapshot,64,8192,1.000000,1.000000,1.000000,{"1":8188,"2":4},0.999512,0.000488,0.000000,0.000000,0.999512,0.000488,1.000000
0.005314633,5,3,snapshot,256,4131,0.999758,0.999879,0.999758,{"1":8188,"2":4},0.999032,0.000968,0.000000,0.000000,0.999032,0.000726,0.750000
0.005314633,5,3,snapshot,1024,1056,0.998106,0.999448,0.998106,{"1":8188,"2":4},0.996212,0.003788,0.000000,0.000000,0.996212,0.001894,0.500000
0.005314633,5,3,snapshot,4096,276,0.989130,0.999277,0.989130,{"1":8188,"2":4},0.985507,0.014493,0.000000,0.000000,0.985507,0.003623,0.250000
0.005314633,5,3,snapshot,16384,86,0.953488,0.998683,0.953488,{"1":8188,"2":4},0.953488,0.046512,0.000000,0.000000,0.953488,0.000000,0.000000
0.006430735,5,4,read_only,64,6147,1.000000,1.000000,1.000000,{"1":6147},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.006430735,5,4,union,64,6147,1.000000,1.000000,1.000000,{"1":6147},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.006430735,5,4,snapshot,64,8192,1.000000,1.000000,1.000000,{"1":8188,"2":4},0.999512,0.000488,0.000000,0.000000,0.999512,0.000488,1.000000
0.006430735,5,4,read_only,256,3075,1.000000,1.000000,1.000000,{"1":6147},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.006430735,5,4,union,256,3075,1.000000,1.000000,1.000000,{"1":6147},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.006430735,5,4,snapshot,256,4135,0.999758,0.999879,0.999758,{"1":8188,"2":4},0.999033,0.000967,0.000000,0.000000,0.999033,0.000726,0.750000
0.006430735,5,4,read_only,1024,771,1.000000,1.000000,1.000000,{"1":6147},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.006430735,5,4,union,1024,771,1.000000,1.000000,1.000000,{"1":6147},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
