sim_time,gpu_id,kernel_id,write_event_count,sharer_set_churn_count,false_invalidation_count
0.002310911,4,5,371,0,0
0.003376310,4,6,19,19,0
0.004421939,4,10,1,0,0
0.006484598,4,16,192,39,0
0.007091952,4,17,353,49,0
0.007331338,4,18,7,7,0
0.007568587,4,19,24,18,0
0.007805491,4,20,20,17,0
0.008044690,4,21,5,1,0
0.008287989,4,22,14,3,0
0.008764981,4,24,52,17,0
0.009017572,4,25,2,0,0
0.009253076,4,26,1,0,0
0.009487176,4,27,3,0,0
0.010101124,4,28,10,7,0
0.010334382,4,29,1,0,0
0.010567899,4,30,1,1,0
0.010801737,4,31,1,1,0
0.011043221,4,32,4,2,0
0.012288050,4,37,1,0,0
0.026155830,4,87,16,13,0
0.026432084,4,88,9,9,0
0.029249145,4,89,29,23,0
0.030986295,4,94,4,0,0
0.031808170,4,95,510,0,0
0.033261315,4,98,405,2,0
0.035941918,4,103,43,3,0
0.036358822,4,104,16,0,0
0.047549949,4,106,2,1,0
0.048374047,4,108,4,3,0
0.051097986,4,119,1,0,0
0.051357647,4,120,10,3,0
0.051846447,4,122,12,6,0
0.052552364,4,125,5,5,0
0.052789080,4,126,4,1,0
0.054453340,4,132,67,43,0
0.054763757,4,133,1,0,0
0.055674412,4,135,95,55,0
0.056054899,4,136,598,205,0
0.057143182,4,137,561,260,0
0.058698996,4,143,122,82,0
0.059613021,4,146,13,6,0
0.060590205,4,148,29,16,0
0.061396479,4,151,6,4,0
0.062342414,4,155,5,4,0
0.063043822,4,158,1,1,0
0.063657451,4,159,6,3,0
0.064126121,4,161,1,1,0
0.064599214,4,163,6,3,0
0.065065217,4,165,2,2,0
0.065627735,4,167,1,0,0
0.068309289,4,178,1,1,0
0.082887202,4,220,2,1,0
0.085483990,4,226,184,64,0
0.086897095,4,229,122,3,0
0.089550453,4,234,1,0,0
0.089824212,4,235,4,0,0
0.114846384,4,245,28,0,0
