sim_time,gpu_id,kernel_id,view,region_size_bytes,num_regions_with_entries,strict_coalescable_ratio,avg_relaxed_ratio,full_redundant_ratio,sharer_set_cardinality_dist_json,reg_card1_ratio,reg_card2_ratio,reg_card3_ratio,reg_card4plus_ratio,coalescable_private_ratio,coalescable_shared_ratio,shared_only_strict_ratio
0.004814167,4,2,snapshot,1024,8192,1.000000,1.000000,1.000000,{"1":8126,"2":66},0.991943,0.008057,0.000000,0.000000,0.991943,0.008057,1.000000
0.004814167,4,2,read_only,4096,2,0.500000,0.750000,0.500000,{"1":2,"2":1},0.500000,0.500000,0.000000,0.000000,0.500000,0.000000,0.000000
0.004814167,4,2,union,4096,2,0.500000,0.750000,0.500000,{"1":2,"2":1},0.500000,0.500000,0.000000,0.000000,0.500000,0.000000,0.000000
0.004814167,4,2,snapshot,4096,2069,0.999033,0.999517,0.999033,{"1":8126,"2":66},0.991300,0.008700,0.000000,0.000000,0.991300,0.007733,0.888889
0.004814167,4,2,read_only,16384,2,0.500000,0.750000,0.500000,{"1":2,"2":1},0.500000,0.500000,0.000000,0.000000,0.500000,0.000000,0.000000
0.004814167,4,2,union,16384,2,0.500000,0.750000,0.500000,{"1":2,"2":1},0.500000,0.500000,0.000000,0.000000,0.500000,0.000000,0.000000
0.004814167,4,2,snapshot,16384,540,0.992593,0.996435,0.992593,{"1":8126,"2":66},0.987037,0.012963,0.000000,0.000000,0.987037,0.005556,0.428571
0.005069156,4,3,snapshot,64,8192,1.000000,1.000000,1.000000,{"1":8126,"2":66},0.991943,0.008057,0.000000,0.000000,0.991943,0.008057,1.000000
0.005069156,4,3,snapshot,256,8192,1.000000,1.000000,1.000000,{"1":8126,"2":66},0.991943,0.008057,0.000000,0.000000,0.991943,0.008057,1.000000
0.005069156,4,3,snapshot,1024,8192,1.000000,1.000000,1.000000,{"1":8126,"2":66},0.991943,0.008057,0.000000,0.000000,0.991943,0.008057,1.000000
0.005069156,4,3,snapshot,4096,2069,0.999033,0.999517,0.999033,{"1":8126,"2":66},0.991300,0.008700,0.000000,0.000000,0.991300,0.007733,0.888889
0.005069156,4,3,snapshot,16384,540,0.992593,0.996435,0.992593,{"1":8126,"2":66},0.987037,0.012963,0.000000,0.000000,0.987037,0.005556,0.428571
0.006162194,4,4,read_only,64,748,1.000000,1.000000,1.000000,{"1":748},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.006162194,4,4,union,64,748,1.000000,1.000000,1.000000,{"1":748},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.006162194,4,4,snapshot,64,8192,1.000000,1.000000,1.000000,{"1":8126,"2":66},0.991943,0.008057,0.000000,0.000000,0.991943,0.008057,1.000000
0.006162194,4,4,read_only,256,748,1.000000,1.000000,1.000000,{"1":748},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.006162194,4,4,union,256,748,1.000000,1.000000,1.000000,{"1":748},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.006162194,4,4,snapshot,256,8192,1.000000,1.000000,1.000000,{"1":8126,"2":66},0.991943,0.008057,0.000000,0.000000,0.991943,0.008057,1.000000
0.006162194,4,4,read_only,1024,748,1.000000,1.000000,1.000000,{"1":748},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.006162194,4,4,union,1024,748,1.000000,1.000000,1.000000,{"1":748},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.006162194,4,4,snapshot,1024,8192,1.000000,1.000000,1.000000,{"1":8126,"2":66},0.991943,0.008057,0.000000,0.000000,0.991943,0.008057,1.000000
0.006162194,4,4,read_only,4096,188,1.000000,1.000000,1.000000,{"1":748},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.006162194,4,4,union,4096,188,1.000000,1.000000,1.000000,{"1":748},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.006162194,4,4,snapshot,4096,2066,0.999516,0.999758,0.999516,{"1":8126,"2":66},0.991288,0.008712,0.000000,0.000000,0.991288,0.008228,0.944444
0.006162194,4,4,read_only,16384,49,0.959184,0.989796,0.959184,{"1":748},0.959184,0.040816,0.000000,0.000000,0.959184,0.000000,0.000000
0.006162194,4,4,union,16384,49,0.959184,0.989796,0.959184,{"1":748},0.959184,0.040816,0.000000,0.000000,0.959184,0.000000,0.000000
0.006162194,4,4,snapshot,16384,543,0.990792,0.996614,0.990792,{"1":8126,"2":66},0.983425,0.016575,0.000000,0.000000,0.983425,0.007366,0.444444
0.007834011,4,5,read_only,64,10657,1.000000,1.000000,1.000000,{"1":6196,"2":4458,"3":3},0.581402,0.418317,0.000282,0.000000,0.581402,0.418598,1.000000
0.007834011,4,5,union,64,10657,1.000000,1.000000,1.000000,{"1":6196,"2":4458,"3":3},0.581402,0.418317,0.000282,0.000000,0.581402,0.418598,1.000000
0.007834011,4,5,snapshot,64,8192,1.000000,1.000000,1.000000,{"1":4998,"2":3191,"3":3},0.610107,0.389526,0.000366,0.000000,0.610107,0.389893,1.000000
