sim_time,gpu_id,kernel_id,write_event_count,sharer_set_churn_count,false_invalidation_count
0.001957049,2,4,474,474,0
0.002310031,2,5,1624,1624,0
0.006015297,2,15,393,393,0
0.006472720,2,16,846,601,0
0.007072625,2,17,1060,528,0
0.007312249,2,18,9,6,0
0.007549345,2,19,13,7,0
0.007786410,2,20,9,0,0
0.008026082,2,21,31,12,0
0.008262686,2,22,29,19,0
0.008763924,2,24,89,59,0
0.009002161,2,25,1,0,0
0.009850850,2,27,8,7,0
0.011024679,2,32,3,0,0
0.011802818,2,35,4,0,0
0.012503088,2,38,2,0,0
0.012971868,2,40,15,1,0
0.014204862,2,45,1,1,0
0.026147018,2,87,10,10,0
0.031793162,2,95,438,436,0
0.034705178,2,102,5,5,0
0.035850442,2,103,2,2,0
0.055953534,2,136,22,0,0
0.057035402,2,137,21,21,0
0.058580192,2,143,5,5,0
0.059492605,2,146,22,22,0
0.059939645,2,147,73,73,0
0.060526972,2,148,41,41,0
0.060998307,2,150,3,3,0
0.061259093,2,151,3,3,0
0.061738191,2,153,1,1,0
0.062212660,2,155,4,4,0
0.063303875,2,158,2,2,0
0.064006527,2,161,2,2,0
0.064474358,2,163,6,6,0
0.079039974,2,217,387,0,0
0.085303031,2,226,17,17,0
0.089795621,2,235,1,1,0
