sim_time,gpu_id,kernel_id,write_event_count,sharer_set_churn_count,false_invalidation_count
0.002304783,3,5,31,30,0
0.003363979,3,6,378,378,0
0.006469892,3,16,127,0,0
0.007078777,3,17,1091,630,0
0.007312183,3,18,17,16,0
0.007549662,3,19,291,282,0
0.007786500,3,20,52,44,0
0.008025284,3,21,47,40,0
0.008268798,3,22,50,32,0
0.008501060,3,23,1,0,0
0.008758380,3,24,99,39,0
0.008996722,3,25,3,0,0
0.009232108,3,26,5,2,0
0.009466057,3,27,4,4,0
0.010079493,3,28,23,23,0
0.010780280,3,31,18,18,0
0.011018547,3,32,4,0,0
0.012265697,3,37,5,2,0
0.012499514,3,38,3,3,0
0.013200594,3,41,3,0,0
0.013669777,3,43,1,1,0
0.031737274,3,95,986,0,0
0.033189009,3,98,34,0,0
0.047875439,3,107,25,25,0
0.048286165,3,108,34,34,0
0.051009035,3,119,53,53,0
0.051273335,3,120,20,20,0
0.051505837,3,121,1,1,0
0.051758244,3,122,36,36,0
0.052227911,3,124,26,26,0
0.052695764,3,126,5,5,0
0.053889240,3,131,18,18,0
0.054443321,3,132,143,128,0
0.054919531,3,134,36,11,0
0.055577065,3,135,1549,21,0
0.055967475,3,136,4,0,0
0.057030584,3,137,43,43,0
0.059839697,3,147,31,0,0
0.060491301,3,148,3834,206,0
0.060760356,3,149,205,16,0
0.060998089,3,150,133,13,0
0.061262113,3,151,215,27,0
0.061504795,3,152,18,0,0
0.061738196,3,153,5,0,0
0.061972429,3,154,2,2,0
0.062210606,3,155,98,13,0
0.062444573,3,156,355,8,0
0.062681119,3,157,7,0,0
0.063533102,3,159,162,1,0
0.064000464,3,161,28,0,0
0.064235745,3,162,20,0,0
0.064703723,3,164,3,0,0
0.065172693,3,166,42,0,0
0.065501112,3,167,17,0,0
0.066434796,3,171,15,0,0
0.066671545,3,172,31,0,0
0.068181805,3,178,3,0,0
0.079309865,3,218,5,5,0
0.079620965,3,219,27,27,0
0.082757715,3,220,26,26,0
0.085302262,3,226,9131,0,7
0.086782630,3,229,101,35,0
0.089446303,3,234,1,1,0
0.112819081,3,238,3,3,0
0.114503713,3,244,266,266,0
0.114740268,3,245,3,3,0
0.114973093,3,246,5,5,0
