sim_time,gpu_id,kernel_id,write_event_count,sharer_set_churn_count,false_invalidation_count
0.002308962,4,5,734,0,0
0.003360119,4,6,22,22,0
0.006463311,4,16,460,276,0
0.007075681,4,17,1061,599,0
0.007311994,4,18,25,25,0
0.007549256,4,19,91,89,0
0.007786347,4,20,47,44,0
0.008025614,4,21,19,4,0
0.008265741,4,22,41,15,0
0.008501075,4,23,1,1,0
0.008767008,4,24,110,31,0
0.008996723,4,25,2,2,0
0.009232109,4,26,1,1,0
0.009466058,4,27,5,0,0
0.010079494,4,28,16,15,0
0.011022212,4,32,5,5,0
0.012265698,4,37,1,0,0
0.012499515,4,38,1,0,0
0.026131521,4,87,42,42,0
0.026406907,4,88,27,27,0
0.029226257,4,89,111,111,0
0.030961683,4,94,1,0,0
0.031778549,4,95,1023,0,0
0.033198441,4,98,935,61,0
0.035844756,4,103,94,94,0
0.036249875,4,104,45,45,0
0.051010911,4,119,17,17,0
0.051270282,4,120,10,10,0
0.051758156,4,122,35,35,0
0.052463056,4,125,6,6,0
0.052699205,4,126,32,32,0
0.054364497,4,132,297,297,0
0.054671965,4,133,6,6,0
0.055572849,4,135,174,174,0
0.055959790,4,136,1492,1485,0
0.057038167,4,137,1898,1898,0
0.058579994,4,143,516,516,0
0.059490126,4,146,48,48,0
0.059870186,4,147,12,12,0
0.060467812,4,148,72,72,0
0.061268222,4,151,9,9,0
0.061504730,4,152,8,8,0
0.061972396,4,154,1,1,0
0.062212258,4,155,30,30,0
0.062914505,4,158,2,2,0
0.063533103,4,159,3,3,0
0.064473188,4,163,4,4,0
0.064938541,4,165,14,14,0
0.065501113,4,167,3,3,0
0.065967240,4,169,5,5,0
0.082757716,4,220,8,8,0
0.085353885,4,226,309,309,0
0.086786981,4,229,138,25,0
0.089730984,4,235,5,5,0
0.114505376,4,244,11,0,0
0.114742749,4,245,37,0,0
