sim_time,gpu_id,kernel_id,write_event_count,sharer_set_churn_count,false_invalidation_count
0.006487706,5,16,449,0,0
0.006945848,5,17,929,0,0
0.007311717,5,18,6,0,0
0.007548943,5,19,3,0,0
0.008025980,5,21,1,0,0
0.008500980,5,23,4,4,0
0.008761486,5,24,6,6,0
0.011253354,5,33,2,2,0
0.012965552,5,40,1,1,0
0.024972711,5,85,1,0,0
0.025597946,5,86,311,0,0
0.030963903,5,94,309,308,0
0.031823367,5,95,1313,351,0
0.047465623,5,106,10,10,0
0.048286167,5,108,68,68,0
0.050764023,5,118,3,3,0
0.051010761,5,119,93,93,0
0.051507952,5,121,15,15,0
0.051757689,5,122,100,100,0
0.052224328,5,124,23,23,0
0.052458552,5,125,10,10,0
0.052693113,5,126,4,4,0
0.053885021,5,131,2,2,0
0.054154822,5,132,99,99,0
0.054671966,5,133,46,46,0
0.055963256,5,136,672,667,0
0.056955884,5,137,1121,1121,0
0.057272356,5,138,12,12,0
0.058580733,5,143,33,33,0
0.059410083,5,146,33,33,0
0.059953749,5,147,201,201,0
0.060493268,5,148,551,551,0
0.060760296,5,149,13,13,0
0.060997924,5,150,89,89,0
0.061238305,5,151,121,121,0
0.061503895,5,152,204,204,0
0.061738155,5,153,23,23,0
0.061972335,5,154,24,24,0
0.062213604,5,155,117,117,0
0.062444575,5,156,3,3,0
0.062681121,5,157,28,28,0
0.063533104,5,159,100,100,0
0.064235747,5,162,9,9,0
0.064469131,5,163,5,5,0
0.064703725,5,164,2,2,0
0.064938542,5,165,1,1,0
0.065172695,5,166,9,9,0
0.065501114,5,167,6,6,0
0.066200925,5,170,1,1,0
0.066671547,5,172,2,2,0
0.079376090,5,218,10,10,0
0.082757717,5,220,18,18,0
0.084453207,5,225,1,1,0
0.086844396,5,229,83,6,0
