sim_time,gpu_id,kernel_id,write_event_count,sharer_set_churn_count,false_invalidation_count
0.000418457,3,0,4,0,0
0.000813613,3,1,1,1,0
0.001955578,3,4,11,6,1
0.002296321,3,5,18,0,0
0.003379141,3,6,17,1,0
0.003695537,3,7,1,1,0
0.005186160,3,12,6,2,0
0.006075559,3,15,22,2,1
0.006491977,3,16,14,0,0
0.007101388,3,17,28,3,0
0.007342472,3,18,1,0,0
0.007579041,3,19,6,3,1
0.008792119,3,24,2,0,0
0.020396420,3,69,115,91,2
0.021215333,3,72,1,1,0
0.021784504,3,74,4,3,1
0.023717629,3,81,13,3,1
0.023987687,3,82,2,1,0
0.024601026,3,84,6,1,0
0.025090498,3,85,5,2,1
0.025634846,3,86,22,5,2
0.026152653,3,87,4,1,0
0.030969239,3,94,53,10,1
0.031747711,3,95,16,1,1
0.032129420,3,96,3,3,0
0.033230828,3,98,10,0,0
0.033798499,3,99,14,6,2
0.034052707,3,100,1,1,0
0.034316559,3,101,1,1,0
0.034721735,3,102,92,14,1
0.035909103,3,103,15,8,2
0.036294367,3,104,1,0,0
0.048011536,3,107,2,0,0
0.051846219,3,122,4,2,1
0.052784804,3,126,10,1,0
0.053014625,3,127,1,1,0
0.054526982,3,132,10,1,0
0.055000503,3,134,1,0,0
0.055659926,3,135,31,7,1
0.056036639,3,136,33,21,9
0.057113974,3,137,28,13,1
0.057599458,3,139,2,0,0
0.058097773,3,141,5,0,0
0.058636919,3,143,5,4,0
0.058896889,3,144,3,3,0
0.059571642,3,146,9,3,0
0.059927412,3,147,5,0,0
0.060582923,3,148,77,3,0
0.060850501,3,149,3,1,0
0.061088184,3,150,2,0,0
0.061349768,3,151,12,0,0
0.061832692,3,153,10,5,1
0.062304513,3,155,5,1,0
0.062537294,3,156,5,0,0
0.063623433,3,159,2,0,0
0.065262884,3,166,1,0,0
0.073948546,3,200,129,124,1
0.075334029,3,205,83,79,2
0.075611950,3,206,1,1,0
0.077306235,3,212,104,68,3
0.078589698,3,216,25,3,1
0.079165390,3,217,9,2,0
0.079749960,3,219,2,1,0
0.084666036,3,225,8,3,1
0.085430441,3,226,62,0,0
0.085745745,3,227,12,12,0
0.086863313,3,229,34,0,0
0.087419660,3,230,29,18,7
0.088419996,3,233,43,3,1
0.089532348,3,234,16,5,1
0.089895095,3,235,2,0,0
0.112876688,3,238,3,0,0
0.114569446,3,244,9,2,1
0.114811769,3,245,4,1,0
