sim_time,gpu_id,kernel_id,write_event_count,sharer_set_churn_count,false_invalidation_count
0.001042417,4,2,1,1,0
0.001960749,4,4,23,12,1
0.002308833,4,5,126,39,4
0.003374523,4,6,42,18,4
0.003689540,4,7,2,1,0
0.003936757,4,8,1,0,0
0.004423602,4,10,2,0,0
0.005175292,4,12,3,2,0
0.006069194,4,15,35,19,2
0.006485170,4,16,17,0,0
0.007103479,4,17,93,67,4
0.007341552,4,18,1,0,0
0.007813409,4,20,7,7,1
0.008052151,4,21,4,4,1
0.011033145,4,32,1,0,0
0.019058305,4,64,1,1,0
0.019318731,4,65,4,4,1
0.019833875,4,67,1,1,0
0.020394130,4,69,148,124,2
0.021218387,4,72,1,0,0
0.021781666,4,74,9,5,3
0.023730220,4,81,96,83,2
0.023987688,4,82,1,0,0
0.025103024,4,85,4,4,1
0.025613264,4,86,81,0,0
0.026175966,4,87,4,1,0
0.029260793,4,89,1,0,0
0.030996173,4,94,20,8,3
0.031800293,4,95,17,5,0
0.032129421,4,96,8,8,0
0.033241529,4,98,110,0,0
0.033802347,4,99,54,23,3
0.034316938,4,101,5,1,0
0.034741017,4,102,86,79,1
0.035903637,4,103,59,7,2
0.036305717,4,104,5,1,0
0.047505531,4,106,1,0,0
0.048369033,4,108,3758,3584,2
0.051093395,4,119,2,0,0
0.051356491,4,120,26,25,1
0.051592201,4,121,1,0,0
0.051845939,4,122,5,2,1
0.052549849,4,125,3,3,1
0.054456324,4,132,5,3,1
0.054755943,4,133,1,1,0
0.055655864,4,135,19,4,1
0.056049086,4,136,70,16,7
0.057122346,4,137,59,28,3
0.057840876,4,140,1,0,0
0.058091632,4,141,3,3,1
0.058665690,4,143,4,1,0
0.059577150,4,146,74,37,3
0.060544826,4,148,10,0,0
0.060852793,4,149,8,6,1
0.061088442,4,150,4,4,1
0.061358946,4,151,3,0,0
0.062306055,4,155,15,15,1
0.072608681,4,195,7,2,0
0.073382505,4,198,1,1,0
0.073943319,4,200,45,4,2
0.075341711,4,205,10,1,1
0.076648561,4,210,1,1,0
0.076881269,4,211,10,9,1
0.077301216,4,212,42,23,3
0.078073320,4,215,42,42,1
0.078583744,4,216,9,9,3
0.079159950,4,217,7,6,2
0.082885721,4,220,1,0,0
0.084642943,4,225,10,6,3
0.085484465,4,226,426,6,1
0.086869850,4,229,28,0,0
0.087423794,4,230,35,9,3
0.088000975,4,232,8,1,0
0.088439892,4,233,12,2,1
0.089525474,4,234,9,4,2
0.089815890,4,235,1,0,0
0.090139032,4,236,1,1,0
0.114571197,4,244,35,25,1
0.114812376,4,245,5,0,0
