sim_time,gpu_id,kernel_id,view,region_size_bytes,num_regions_with_entries,strict_coalescable_ratio,avg_relaxed_ratio,full_redundant_ratio,sharer_set_cardinality_dist_json,reg_card1_ratio,reg_card2_ratio,reg_card3_ratio,reg_card4plus_ratio,coalescable_private_ratio,coalescable_shared_ratio,shared_only_strict_ratio
0.002061000,3,2,snapshot,1024,1671,1.000000,1.000000,1.000000,{"1":3302,"3":38},0.988630,0.000000,0.011370,0.000000,0.988630,0.011370,1.000000
0.002061000,3,2,read_only,4096,404,1.000000,1.000000,1.000000,{"1":3121,"3":4},0.997525,0.000000,0.002475,0.000000,0.997525,0.002475,1.000000
0.002061000,3,2,union,4096,415,0.997590,0.999197,0.997590,{"1":3211,"3":4},0.997590,0.000000,0.002410,0.000000,0.997590,0.000000,0.000000
0.002061000,3,2,snapshot,4096,419,0.997613,0.999403,0.997613,{"1":3302,"3":38},0.988067,0.000000,0.011933,0.000000,0.988067,0.009547,0.800000
0.002061000,3,2,read_only,16384,102,0.980392,0.995098,0.980392,{"1":3121,"3":4},0.970588,0.019608,0.009804,0.000000,0.970588,0.009804,0.333333
0.002061000,3,2,union,16384,106,0.962264,0.989780,0.962264,{"1":3211,"3":4},0.962264,0.028302,0.009434,0.000000,0.962264,0.000000,0.000000
0.002061000,3,2,snapshot,16384,106,0.952830,0.989976,0.952830,{"1":3302,"3":38},0.952830,0.028302,0.018868,0.000000,0.952830,0.000000,0.000000
0.002613892,3,3,read_only,64,3334,1.000000,1.000000,1.000000,{"1":3212,"3":122},0.963407,0.000000,0.036593,0.000000,0.963407,0.036593,1.000000
0.002613892,3,3,union,64,3340,1.000000,1.000000,1.000000,{"1":3212,"3":128},0.961677,0.000000,0.038323,0.000000,0.961677,0.038323,1.000000
0.002613892,3,3,snapshot,64,3340,1.000000,1.000000,1.000000,{"1":3212,"3":128},0.961677,0.000000,0.038323,0.000000,0.961677,0.038323,1.000000
0.002613892,3,3,read_only,256,3334,1.000000,1.000000,1.000000,{"1":3212,"3":122},0.963407,0.000000,0.036593,0.000000,0.963407,0.036593,1.000000
0.002613892,3,3,union,256,3340,1.000000,1.000000,1.000000,{"1":3212,"3":128},0.961677,0.000000,0.038323,0.000000,0.961677,0.038323,1.000000
0.002613892,3,3,snapshot,256,3340,1.000000,1.000000,1.000000,{"1":3212,"3":128},0.961677,0.000000,0.038323,0.000000,0.961677,0.038323,1.000000
0.002613892,3,3,read_only,1024,1668,1.000000,1.000000,1.000000,{"1":3212,"3":122},0.963429,0.000000,0.036571,0.000000,0.963429,0.036571,1.000000
0.002613892,3,3,union,1024,1671,1.000000,1.000000,1.000000,{"1":3212,"3":128},0.961700,0.000000,0.038300,0.000000,0.961700,0.038300,1.000000
0.002613892,3,3,snapshot,1024,1671,1.000000,1.000000,1.000000,{"1":3212,"3":128},0.961700,0.000000,0.038300,0.000000,0.961700,0.038300,1.000000
0.002613892,3,3,read_only,4096,419,1.000000,1.000000,1.000000,{"1":3212,"3":122},0.961814,0.000000,0.038186,0.000000,0.961814,0.038186,1.000000
0.002613892,3,3,union,4096,419,1.000000,1.000000,1.000000,{"1":3212,"3":128},0.961814,0.000000,0.038186,0.000000,0.961814,0.038186,1.000000
0.002613892,3,3,snapshot,4096,419,1.000000,1.000000,1.000000,{"1":3212,"3":128},0.961814,0.000000,0.038186,0.000000,0.961814,0.038186,1.000000
0.002613892,3,3,read_only,16384,106,0.981132,0.995283,0.981132,{"1":3212,"3":122},0.933962,0.018868,0.047170,0.000000,0.933962,0.047170,0.714286
0.002613892,3,3,union,16384,106,0.981132,0.995283,0.981132,{"1":3212,"3":128},0.933962,0.018868,0.047170,0.000000,0.933962,0.047170,0.714286
0.002613892,3,3,snapshot,16384,106,0.981132,0.995283,0.981132,{"1":3212,"3":128},0.933962,0.018868,0.047170,0.000000,0.933962,0.047170,0.714286
