sim_time,gpu_id,kernel_id,view,region_size_bytes,num_regions_with_entries,strict_coalescable_ratio,avg_relaxed_ratio,full_redundant_ratio,sharer_set_cardinality_dist_json,reg_card1_ratio,reg_card2_ratio,reg_card3_ratio,reg_card4plus_ratio,coalescable_private_ratio,coalescable_shared_ratio,shared_only_strict_ratio
0.011777986,2,2,read_only,64,109743,1.000000,1.000000,1.000000,{"1":107242,"2":2,"3":2499},0.977210,0.000018,0.022771,0.000000,0.977210,0.022790,1.000000
0.011777986,2,2,union,64,109743,1.000000,1.000000,1.000000,{"1":107242,"2":2,"3":2499},0.977210,0.000018,0.022771,0.000000,0.977210,0.022790,1.000000
0.011777986,2,2,snapshot,64,8192,1.000000,1.000000,1.000000,{"1":5948,"2":1,"3":2243},0.726074,0.000122,0.273804,0.000000,0.726074,0.273926,1.000000
0.011777986,2,2,read_only,256,29264,0.999932,0.999974,0.999932,{"1":107242,"2":2,"3":2499},0.978609,0.000034,0.021357,0.000000,0.978609,0.021323,0.996805
0.011777986,2,2,union,256,29264,0.999932,0.999974,0.999932,{"1":107242,"2":2,"3":2499},0.978609,0.000034,0.021357,0.000000,0.978609,0.021323,0.996805
0.011777986,2,2,snapshot,256,3456,0.999711,0.999928,0.999711,{"1":5948,"2":1,"3":2243},0.819155,0.000000,0.180845,0.000000,0.819155,0.180556,0.998400
0.011777986,2,2,read_only,1024,7811,0.999744,0.999979,0.999744,{"1":107242,"2":2,"3":2499},0.979772,0.000128,0.020100,0.000000,0.979772,0.019972,0.987342
0.011777986,2,2,union,1024,7811,0.999744,0.999979,0.999744,{"1":107242,"2":2,"3":2499},0.979772,0.000128,0.020100,0.000000,0.979772,0.019972,0.987342
0.011777986,2,2,snapshot,1024,1741,0.999426,0.999964,0.999426,{"1":5948,"2":1,"3":2243},0.909822,0.000000,0.090178,0.000000,0.909822,0.089604,0.993631
0.011777986,2,2,read_only,4096,2012,0.999006,0.999973,0.999006,{"1":107242,"2":2,"3":2499},0.979622,0.000497,0.019881,0.000000,0.979622,0.019384,0.951220
0.011777986,2,2,union,4096,2012,0.999006,0.999973,0.999006,{"1":107242,"2":2,"3":2499},0.979622,0.000497,0.019881,0.000000,0.979622,0.019384,0.951220
0.011777986,2,2,snapshot,4096,761,0.998686,0.999977,0.998686,{"1":5948,"2":1,"3":2243},0.947438,0.000000,0.052562,0.000000,0.947438,0.051248,0.975000
0.011777986,2,2,read_only,16384,514,0.994163,0.999034,0.994163,{"1":107242,"2":2,"3":2499},0.974708,0.003891,0.021401,0.000000,0.974708,0.019455,0.769231
0.011777986,2,2,union,16384,514,0.994163,0.999034,0.994163,{"1":107242,"2":2,"3":2499},0.974708,0.003891,0.021401,0.000000,0.974708,0.019455,0.769231
0.011777986,2,2,snapshot,16384,229,0.995633,0.999981,0.995633,{"1":5948,"2":1,"3":2243},0.951965,0.000000,0.048035,0.000000,0.951965,0.043668,0.909091
