sim_time,gpu_id,kernel_id,write_event_count,sharer_set_churn_count,false_invalidation_count
0.002399340,3,5,3,3,0
0.006653761,3,16,15,0,0
0.007281612,3,17,56,38,0
0.007755465,3,19,1,0,0
0.035052044,3,102,2,2,0
0.048774758,3,108,3,3,0
0.052260566,3,122,23,23,0
0.054949939,3,132,3,3,0
0.056514663,3,136,142,0,0
0.057598989,3,137,31,25,0
0.057848131,3,138,2,2,0
0.062900219,3,155,2,2,0
0.064216509,3,159,2,2,0
0.066887624,3,170,1,1,0
0.088161623,3,229,110,8,0
0.090843524,3,234,2,2,0
0.121012649,3,244,137,137,0
0.121248331,3,245,4,4,0
0.121481851,3,246,17,17,0
