sim_time,gpu_id,kernel_id,view,region_size_bytes,num_regions_with_entries,strict_coalescable_ratio,avg_relaxed_ratio,full_redundant_ratio,sharer_set_cardinality_dist_json,reg_card1_ratio,reg_card2_ratio,reg_card3_ratio,reg_card4plus_ratio,coalescable_private_ratio,coalescable_shared_ratio,shared_only_strict_ratio
0.020175359,3,2,union,64,176977,1.000000,1.000000,1.000000,{"1":175334,"2":1,"3":1642},0.990716,0.000006,0.009278,0.000000,0.990716,0.009284,1.000000
0.020175359,3,2,snapshot,64,8192,1.000000,1.000000,1.000000,{"1":8058,"2":1,"3":133},0.983643,0.000122,0.016235,0.000000,0.983643,0.016357,1.000000
0.020175359,3,2,read_only,256,88520,0.999989,0.999994,0.999989,{"1":175207,"2":1,"3":1642},0.990578,0.000011,0.009410,0.000000,0.990578,0.009410,0.998801
0.020175359,3,2,union,256,88572,0.999729,0.999865,0.999729,{"1":175334,"2":1,"3":1642},0.990584,0.000011,0.009405,0.000000,0.990584,0.009145,0.971223
0.020175359,3,2,snapshot,256,5098,1.000000,1.000000,1.000000,{"1":8058,"2":1,"3":133},0.985092,0.000196,0.014712,0.000000,0.985092,0.014908,1.000000
0.020175359,3,2,read_only,1024,22161,0.999955,0.999977,0.999955,{"1":175207,"2":1,"3":1642},0.990253,0.000045,0.009702,0.000000,0.990253,0.009702,0.995370
0.020175359,3,2,union,1024,22168,0.999323,0.999791,0.999323,{"1":175334,"2":1,"3":1642},0.990256,0.000045,0.009699,0.000000,0.990256,0.009067,0.930556
0.020175359,3,2,snapshot,1024,2038,0.999509,0.999902,0.999509,{"1":8058,"2":1,"3":133},0.987733,0.000491,0.011776,0.000000,0.987733,0.011776,0.960000
0.020175359,3,2,read_only,4096,5543,0.999820,0.999927,0.999820,{"1":175207,"2":1,"3":1642},0.989717,0.000180,0.010103,0.000000,0.989717,0.010103,0.982456
0.020175359,3,2,union,4096,5543,0.998376,0.999617,0.998376,{"1":175334,"2":1,"3":1642},0.989717,0.000180,0.010103,0.000000,0.989717,0.008660,0.842105
0.020175359,3,2,snapshot,4096,590,0.998305,0.999831,0.998305,{"1":8058,"2":1,"3":133},0.984746,0.001695,0.013559,0.000000,0.984746,0.013559,0.888889
0.020175359,3,2,read_only,16384,1388,0.997118,0.999488,0.997118,{"1":175207,"2":1,"3":1642},0.987032,0.002161,0.010807,0.000000,0.987032,0.010086,0.777778
0.020175359,3,2,union,16384,1388,0.994957,0.998773,0.994957,{"1":175334,"2":1,"3":1642},0.987032,0.002161,0.010807,0.000000,0.987032,0.007925,0.611111
0.020175359,3,2,snapshot,16384,175,0.994286,0.999429,0.994286,{"1":8058,"2":1,"3":133},0.977143,0.005714,0.017143,0.000000,0.977143,0.017143,0.750000
