sim_time,gpu_id,kernel_id,write_event_count,sharer_set_churn_count,false_invalidation_count
0.000943190,3,2,2,1,0
0.014703279,3,54,1,0,0
0.015034933,3,55,2,2,0
0.016382336,3,60,2,0,0
0.018282174,3,67,45,26,4
0.018520005,3,68,2,1,0
0.019145833,3,70,1,1,0
0.019771690,3,72,104,101,1
0.020062897,3,73,1,0,0
0.020610033,3,75,1,1,0
0.021150145,3,77,1,1,0
0.021401295,3,78,1,0,0
0.021679157,3,79,1,1,0
0.023188064,3,85,6,0,0
0.023890668,3,88,10,1,0
0.024125388,3,89,1,1,0
0.039206463,3,148,3,2,0
0.040570349,3,153,1,0,0
0.040833408,3,154,1,0,0
0.042439955,3,160,7,1,0
0.043872334,3,165,11,4,2
0.044181273,3,166,3,1,0
0.044425425,3,167,5,0,0
0.044707677,3,168,1,1,0
0.045340272,3,170,2,1,0
0.045829083,3,172,16,1,0
0.046059855,3,173,1,1,0
