sim_time,gpu_id,kernel_id,write_event_count,sharer_set_churn_count,false_invalidation_count
0.000423699,4,0,2,2,0
0.001408307,4,4,15,15,1
0.003366730,4,9,64,64,1
0.003614346,4,10,1,1,0
0.015028578,4,55,3,3,1
0.016615784,4,61,93,68,2
0.018269769,4,67,15,4,1
0.018520006,4,68,3,2,1
0.019151925,4,70,2,2,0
0.019779072,4,72,117,115,3
0.022951476,4,84,34,33,1
0.023890515,4,88,1,1,0
0.039207954,4,148,3,3,1
0.040805302,4,154,4,4,2
0.042078161,4,159,1,1,0
0.042448558,4,160,159,86,2
0.043243172,4,163,2,2,1
0.043863517,4,165,66,60,2
0.044184164,4,166,7,2,0
0.045591899,4,171,33,22,1
0.045828195,4,172,1,1,0
